#,48,我,左,朱朱朱…朱熹？？,49
#,49,我,左,（眼前的儒生眉头皱了皱，似乎在困惑我怎么知道他叫什么。）,50
#,50,朱熹,右,足下何方人士？如何得知在下的姓名？,51
#,51,我,左,（这是幻觉吧？！）,52
#,52,我,左,朱子的名号流传甚远，我很仰慕您。,53
@,53,,,朱熹闻言松开了眉头，眼睛里满是儒者的温润。,
#,54,朱熹,右,足下谬赞了，称我为晦庵先生就好，不敢称“朱子“。,55
@,55,,,他后退一步，抬眸问道,
#,56,朱熹,右,小友可有其他事？在下近日忙于修书，恐怕难以接待。,57
&,57,,,进一步攀谈,60
&,58,,,什么也不说,59
END2,59,,,,
#,60,我,左,（这便是我一直所崇敬的理学大家，朱熹！多想和他交流一番，哪怕是跟在后边什么也不说，光是旁观，也能让我受益匪浅。）,61
#,61,我,左,晦庵先生，我这番前往徽州，便是为了拜访您。您修社仓，造福一方百姓；治书著论，解天下读书人之迷津；我对您崇敬已久。若能让我跟在您身边学习，哪怕只是看您如何治学处事，对我都是极大的帮助，恳请先生成全！,62
#,62,朱熹,右,（打量了我一番，目光在我诚恳的脸上停留许久）“为学须实“，你有这份向学的心，难得可贵。往后不妨常来寒舍，我与门生论学时，你一旁静听细看便是。,63
@,63,,,他说罢，便向竹林外走去。,
@,64,,,映入眼帘的是一座白墙黛瓦的民居，房子墙面洁白如雪，在阳光下泛着柔和的光，仿佛能洗净尘世的喧嚣。那黛色的瓦片层层叠叠，错落有致，历经年岁的洗礼，显得愈发沉稳。色调朴素淡雅，坐落在这绿水青山之中，还真如一幅素雅的水墨画。,
END3,65,,,,
#,66,朱熹,右,你想了解什么？,67
&,67,,,寒泉著述,72
&,68,,,田间恤民,82
&,69,,,鹅湖论学,90
&,70,,,方塘悟理,103
&,71,,,没什么,79
￥祭品,72,,,(点击祭品继续）,
#,73,朱熹,右,先母常说“为学守本心，浮华不可取“。自母亲去世后，我修建寒泉坞，守孝著述，时刻不忘母亲的教诲。,
￥书卷,74,,,（点击书卷继续）,
#,75,朱熹,右,（手中拿着书卷，上面可见修改痕迹，写着论语集注。）,
#,76,我,左,先生，您这手稿上密密麻麻的修改痕迹，这得是修了多久啊！真是辛苦。您就不觉得寂寞吗，修书可是个难熬的事情。,77
#,77,朱熹,右,研究学问，是我心所向，并不觉得寂寞。,78
